observation_id,origin,destination,airline,travel_date,search_date,search_time,lead_time,lead_time_days,fare_class,base_fare,taxes,fees,total_fare,availability,source,timestamp,currency,is_mock,data_mode,environment,collection_run_id,route,source_lead_time,lead_time_mismatch,fare_consistency_flag,validation_status,validation_reason,usable_for_index,duplicate_flag
FIXTURE_0001,BLR,HYD,IndiGo,2026-09-09,2026-09-08,09:00:00,T+1,1,Economy,8574.0,781.0,112.0,9467.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 09:00:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0002,BLR,HYD,SpiceJet,2026-09-15,2026-09-08,10:07:00,T+7,7,Economy,7337.0,932.0,58.0,8327.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 10:07:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+7,False,VALID,VALID,,True,UNIQUE
FIXTURE_0003,BLR,HYD,SpiceJet,2026-09-23,2026-09-08,11:14:00,T+15,15,Economy,7097.0,703.0,233.0,8033.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 11:14:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0004,BLR,HYD,Akasa Air,2026-10-08,2026-09-08,12:21:00,T+30,30,Economy,4778.0,506.0,244.0,5528.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 12:21:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0005,BLR,HYD,Air India Express,2026-10-23,2026-09-08,13:28:00,T+45,45,Economy,4263.0,844.0,76.0,5183.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:28:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BLR-HYD,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_0006,BOM,BLR,SpiceJet,2026-09-09,2026-09-08,14:35:00,T+1,1,Economy,2855.0,970.0,187.0,4012.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 14:35:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0007,BOM,BLR,Air India Express,2026-09-15,2026-09-08,15:42:00,T+7,7,Economy,5462.0,1091.0,99.0,6652.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 15:42:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+7,False,VALID,VALID,,True,UNIQUE
FIXTURE_0008,BOM,BLR,Air India Express,2026-09-23,2026-09-08,16:49:00,T+15,15,Economy,4407.0,603.0,147.0,5157.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 16:49:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0009,BOM,BLR,Air India,2026-10-08,2026-09-08,09:56:00,T+30,30,Economy,5410.0,714.0,221.0,6345.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 09:56:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0010,BOM,BLR,SpiceJet,2026-10-23,2026-09-08,10:03:00,T+45,45,Economy,6875.0,750.0,91.0,7716.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 10:03:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,BOM-BLR,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_0011,DEL,BLR,SpiceJet,2026-09-09,2026-09-08,11:10:00,T+1,1,Economy,8108.0,832.0,265.0,9205.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 11:10:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BLR,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0012,DEL,BLR,Air India Express,2026-09-15,2026-09-08,12:17:00,T+7,7,Economy,4693.0,567.0,104.0,5364.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 12:17:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BLR,T+7,False,VALID,VALID,,True,UNIQUE
FIXTURE_0013,DEL,BLR,Air India Express,2026-09-23,2026-09-08,13:24:00,T+15,15,Economy,7869.0,1011.0,151.0,9031.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:24:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BLR,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0014,DEL,BLR,Air India Express,2026-10-08,2026-09-08,14:31:00,T+30,30,Economy,4520.0,1074.0,187.0,5781.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 14:31:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BLR,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0015,DEL,BLR,Akasa Air,2026-10-23,2026-09-08,15:38:00,T+45,45,Economy,4296.0,641.0,180.0,5117.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 15:38:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BLR,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_0016,DEL,BOM,Air India,2026-09-09,2026-09-08,16:45:00,T+1,1,Economy,8988.0,1196.0,158.0,10342.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 16:45:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BOM,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0017,DEL,BOM,Akasa Air,2026-09-15,2026-09-08,09:52:00,T+7,7,Economy,4559.0,1066.0,270.0,5895.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 09:52:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BOM,T+7,False,VALID,VALID,,True,UNIQUE
FIXTURE_0018,DEL,BOM,SpiceJet,2026-09-23,2026-09-08,10:59:00,T+15,15,Economy,8796.0,1156.0,137.0,10089.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 10:59:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BOM,T+15,False,VALID,VALID,,True,UNIQUE
FIXTURE_0019,DEL,BOM,IndiGo,2026-10-08,2026-09-08,11:06:00,T+30,30,Economy,6600.0,682.0,179.0,7461.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 11:06:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BOM,T+30,False,VALID,VALID,,True,UNIQUE
FIXTURE_0020,DEL,BOM,SpiceJet,2026-10-23,2026-09-08,12:13:00,T+45,45,Economy,4129.0,656.0,145.0,4930.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 12:13:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-BOM,T+45,False,VALID,VALID,,True,UNIQUE
FIXTURE_0021,DEL,CCU,IndiGo,2026-09-09,2026-09-08,13:20:00,T+1,1,Economy,5155.0,1000.0,54.0,6209.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 13:20:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-CCU,T+1,False,VALID,VALID,,True,UNIQUE
FIXTURE_0022,DEL,CCU,Air India,2026-09-15,2026-09-08,14:27:00,T+7,7,Economy,4473.0,1080.0,292.0,5845.0,AVAILABLE,MOCK_FIXTURE,2026-09-08 14:27:00,INR,True,FIXTURE,TEST,RUN_20260908_101039_MOCKFIXTURE_9CDB74,DEL-CCU,T+7,False,VALID,VALID,,True,UNIQUE
