SUMMARY
check,count
exact_duplicate_rows (all columns identical),0
true_duplicate_rows (same route+airline+travel_date+lead_time+fare_class+source+search_time),0
"intraday_repeat_groups (same route+airline+travel_date+lead_time+fare_class+source, different search_time — legitimate multiple daily fare checks)",482
unique_rows,18

ROW DETAIL
observation_id,route,airline,travel_date,lead_time,search_time,duplicate_flag
A0001,MAA-DEL,IndiGo,2026-09-06,T+1,23:06,INTRADAY_REPEAT_CHECK
A0002,MAA-DEL,SpiceJet,2026-09-06,T+1,06:14,UNIQUE
A0003,BLR-HYD,SpiceJet,2026-09-06,T+1,17:26,INTRADAY_REPEAT_CHECK
A0004,DEL-BLR,Akasa Air,2026-10-20,T+45,22:27,INTRADAY_REPEAT_CHECK
A0005,BOM-BLR,Air India Express,2026-09-12,T+7,03:22,INTRADAY_REPEAT_CHECK
A0006,BOM-BLR,SpiceJet,2026-09-20,T+15,12:05,INTRADAY_REPEAT_CHECK
A0007,BLR-HYD,Air India Express,2026-10-20,T+45,01:42,INTRADAY_REPEAT_CHECK
A0008,DEL-BLR,Air India Express,2026-09-06,T+1,20:53,INTRADAY_REPEAT_CHECK
A0009,BOM-BLR,Air India,2026-09-20,T+15,21:41,INTRADAY_REPEAT_CHECK
A0010,DEL-BOM,SpiceJet,2026-09-12,T+7,08:59,INTRADAY_REPEAT_CHECK
A0011,MAA-DEL,SpiceJet,2026-09-12,T+7,01:14,INTRADAY_REPEAT_CHECK
A0012,DEL-BOM,Air India Express,2026-10-05,T+30,18:56,INTRADAY_REPEAT_CHECK
A0013,MAA-DEL,Air India Express,2026-09-12,T+7,20:29,INTRADAY_REPEAT_CHECK
A0014,DEL-BLR,Air India Express,2026-09-12,T+7,18:27,INTRADAY_REPEAT_CHECK
A0015,BLR-HYD,Akasa Air,2026-09-20,T+15,01:55,INTRADAY_REPEAT_CHECK
A0016,DEL-BOM,Air India,2026-09-12,T+7,12:24,INTRADAY_REPEAT_CHECK
A0017,BLR-HYD,Akasa Air,2026-10-20,T+45,21:46,INTRADAY_REPEAT_CHECK
A0018,DEL-BOM,SpiceJet,2026-09-20,T+15,13:10,INTRADAY_REPEAT_CHECK
A0019,DEL-CCU,IndiGo,2026-09-20,T+15,20:19,INTRADAY_REPEAT_CHECK
