route,date,representative_fare,route_index,overall_index
BLR-HYD,2026-09-06,6792.5,,
BLR-HYD,2026-09-12,7104.5,,
BLR-HYD,2026-09-20,6546.0,,
BLR-HYD,2026-10-05,7422.5,,
BLR-HYD,2026-10-20,6455.0,,
BOM-BLR,2026-09-06,5903.5,,
BOM-BLR,2026-09-12,7227.0,,
BOM-BLR,2026-09-20,5799.0,,
BOM-BLR,2026-10-05,6203.0,,
BOM-BLR,2026-10-20,6485.5,,
DEL-BLR,2026-09-06,6638.0,,
DEL-BLR,2026-09-12,6394.0,,
DEL-BLR,2026-09-20,7054.0,,
DEL-BLR,2026-10-05,7543.0,,
DEL-BLR,2026-10-20,6614.0,,
DEL-BOM,2026-09-06,6103.0,,
DEL-BOM,2026-09-12,8208.0,,
DEL-BOM,2026-09-20,8053.0,,
DEL-BOM,2026-10-05,7100.5,,
DEL-BOM,2026-10-20,7377.0,,
DEL-CCU,2026-09-06,6185.0,,
DEL-CCU,2026-09-12,7216.0,,
DEL-CCU,2026-09-20,5547.0,,
DEL-CCU,2026-10-05,6592.0,,
DEL-CCU,2026-10-20,6418.5,,
MAA-DEL,2026-09-06,7944.0,,
MAA-DEL,2026-09-12,8735.0,,
MAA-DEL,2026-09-20,6833.0,,
MAA-DEL,2026-10-05,7251.5,,
MAA-DEL,2026-10-20,5543.0,,
