route,date,airline,lead_time,total_fare,route_median,fare_deviation,availability,outlier_flag
MAA-DEL,2026-09-06,IndiGo,T+1,9467,7393.0,28.05,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,SpiceJet,T+1,8327,7393.0,12.63,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,8033,6792.5,18.26,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,5528,6927.0,-20.2,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India Express,T+7,5183,6133.5,-15.5,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,4012,6133.5,-34.59,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India Express,T+45,6652,6792.5,-2.07,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India Express,T+1,5157,6927.0,-25.55,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India,T+15,6345,6133.5,3.45,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,SpiceJet,T+7,7716,7207.0,7.06,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,SpiceJet,T+7,9205,7393.0,24.51,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India Express,T+30,5364,7207.0,-25.57,SOLD_OUT,NORMAL
MAA-DEL,2026-09-12,Air India Express,T+7,9031,7393.0,22.16,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Air India Express,T+7,5781,6927.0,-16.54,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,5117,6792.5,-24.67,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,10342,7207.0,43.5,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Akasa Air,T+45,5895,6792.5,-13.21,SOLD_OUT,NORMAL
DEL-BOM,2026-09-20,SpiceJet,T+15,10089,7207.0,39.99,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,7461,6581.5,13.36,SOLD_OUT,NORMAL
MAA-DEL,2026-10-20,SpiceJet,T+45,4930,7393.0,-33.32,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,IndiGo,T+45,6209,6792.5,-8.59,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India,T+1,5845,6133.5,-4.7,AVAILABLE,NORMAL
