observation_id,route,airline,total_fare,route_median_fare,fare_deviation_pct,availability,outlier_flag
A0001,MAA-DEL,IndiGo,9467,7393.0,28.05,AVAILABLE,NORMAL
A0002,MAA-DEL,SpiceJet,8327,7393.0,12.63,AVAILABLE,NORMAL
A0003,BLR-HYD,SpiceJet,8033,6792.5,18.26,AVAILABLE,NORMAL
A0004,DEL-BLR,Akasa Air,5528,6927.0,-20.2,AVAILABLE,NORMAL
A0005,BOM-BLR,Air India Express,5183,6133.5,-15.5,AVAILABLE,NORMAL
A0006,BOM-BLR,SpiceJet,4012,6133.5,-34.59,AVAILABLE,NORMAL
A0007,BLR-HYD,Air India Express,6652,6792.5,-2.07,AVAILABLE,NORMAL
A0008,DEL-BLR,Air India Express,5157,6927.0,-25.55,AVAILABLE,NORMAL
A0009,BOM-BLR,Air India,6345,6133.5,3.45,AVAILABLE,NORMAL
A0010,DEL-BOM,SpiceJet,7716,7207.0,7.06,AVAILABLE,NORMAL
A0011,MAA-DEL,SpiceJet,9205,7393.0,24.51,AVAILABLE,NORMAL
A0012,DEL-BOM,Air India Express,5364,7207.0,-25.57,SOLD_OUT,NORMAL
A0013,MAA-DEL,Air India Express,9031,7393.0,22.16,AVAILABLE,NORMAL
A0014,DEL-BLR,Air India Express,5781,6927.0,-16.54,AVAILABLE,NORMAL
A0015,BLR-HYD,Akasa Air,5117,6792.5,-24.67,AVAILABLE,NORMAL
A0016,DEL-BOM,Air India,10342,7207.0,43.5,AVAILABLE,NORMAL
A0017,BLR-HYD,Akasa Air,5895,6792.5,-13.21,SOLD_OUT,NORMAL
A0018,DEL-BOM,SpiceJet,10089,7207.0,39.99,AVAILABLE,NORMAL
A0019,DEL-CCU,IndiGo,7461,6581.5,13.36,SOLD_OUT,NORMAL
A0020,MAA-DEL,SpiceJet,4930,7393.0,-33.32,AVAILABLE,NORMAL
A0021,BLR-HYD,IndiGo,6209,6792.5,-8.59,AVAILABLE,NORMAL
A0022,BOM-BLR,Air India,5845,6133.5,-4.7,AVAILABLE,NORMAL
A0023,DEL-BOM,SpiceJet,4897,7207.0,-32.05,SOLD_OUT,NORMAL
A0024,BLR-HYD,SpiceJet,5530,6792.5,-18.59,AVAILABLE,NORMAL
A0025,BOM-BLR,Akasa Air,7282,6133.5,18.73,AVAILABLE,NORMAL
A0026,BOM-BLR,IndiGo,7972,6133.5,29.97,AVAILABLE,NORMAL
A0027,MAA-DEL,IndiGo,3854,7393.0,-47.87,AVAILABLE,NORMAL
A0028,BOM-BLR,Akasa Air,7787,6133.5,26.96,SOLD_OUT,NORMAL
A0029,DEL-CCU,Air India,6602,6581.5,0.31,AVAILABLE,NORMAL
A0030,DEL-CCU,Akasa Air,9249,6581.5,40.53,AVAILABLE,NORMAL
A0031,DEL-BOM,Akasa Air,4248,7207.0,-41.06,AVAILABLE,NORMAL
A0032,DEL-CCU,Air India,7317,6581.5,11.18,SOLD_OUT,NORMAL
A0033,BLR-HYD,IndiGo,9159,6792.5,34.84,AVAILABLE,NORMAL
A0034,DEL-BLR,Air India,7574,6927.0,9.34,AVAILABLE,NORMAL
A0035,DEL-CCU,IndiGo,5760,6581.5,-12.48,AVAILABLE,NORMAL
A0036,BLR-HYD,Akasa Air,4963,6792.5,-26.93,SOLD_OUT,NORMAL
A0037,BLR-HYD,IndiGo,3718,6792.5,-45.26,AVAILABLE,NORMAL
A0038,DEL-BOM,SpiceJet,4794,7207.0,-33.48,AVAILABLE,NORMAL
A0039,DEL-BOM,SpiceJet,8410,7207.0,16.69,AVAILABLE,NORMAL
A0040,BLR-HYD,SpiceJet,5960,6792.5,-12.26,AVAILABLE,NORMAL
A0041,BOM-BLR,Akasa Air,9288,6133.5,51.43,AVAILABLE,NORMAL
A0042,DEL-CCU,SpiceJet,4081,6581.5,-37.99,AVAILABLE,NORMAL
A0043,BOM-BLR,IndiGo,6408,6133.5,4.48,AVAILABLE,NORMAL
A0044,BOM-BLR,SpiceJet,4006,6133.5,-34.69,AVAILABLE,NORMAL
A0045,DEL-BLR,Air India Express,4531,6927.0,-34.59,AVAILABLE,NORMAL
A0046,MAA-DEL,Air India Express,9548,7393.0,29.15,AVAILABLE,NORMAL
A0047,DEL-BOM,IndiGo,5361,7207.0,-25.61,AVAILABLE,NORMAL
A0048,BOM-BLR,Air India,8149,6133.5,32.86,AVAILABLE,NORMAL
A0049,MAA-DEL,Air India,3872,7393.0,-47.63,AVAILABLE,NORMAL
A0050,DEL-BOM,Air India Express,3795,7207.0,-47.34,AVAILABLE,NORMAL
A0051,BOM-BLR,SpiceJet,8528,6133.5,39.04,SOLD_OUT,NORMAL
A0052,DEL-BLR,Akasa Air,5059,6927.0,-26.97,SOLD_OUT,NORMAL
A0053,MAA-DEL,Air India,4561,7393.0,-38.31,AVAILABLE,NORMAL
A0054,DEL-BLR,Akasa Air,5840,6927.0,-15.69,AVAILABLE,NORMAL
A0055,BOM-BLR,Air India Express,9759,6133.5,59.11,AVAILABLE,NORMAL
A0056,BLR-HYD,Air India Express,4306,6792.5,-36.61,AVAILABLE,NORMAL
A0057,DEL-BOM,SpiceJet,6313,7207.0,-12.4,AVAILABLE,NORMAL
A0058,DEL-CCU,SpiceJet,5362,6581.5,-18.53,AVAILABLE,NORMAL
A0059,BLR-HYD,Air India,6896,6792.5,1.52,AVAILABLE,NORMAL
A0060,BOM-BLR,IndiGo,7690,6133.5,25.38,AVAILABLE,NORMAL
A0061,BOM-BLR,SpiceJet,5221,6133.5,-14.88,SOLD_OUT,NORMAL
A0062,DEL-BLR,SpiceJet,6070,6927.0,-12.37,AVAILABLE,NORMAL
A0063,DEL-BLR,Akasa Air,8771,6927.0,26.62,AVAILABLE,NORMAL
A0064,DEL-BLR,SpiceJet,9419,6927.0,35.98,AVAILABLE,NORMAL
A0065,MAA-DEL,SpiceJet,4227,7393.0,-42.82,AVAILABLE,NORMAL
A0066,DEL-BOM,IndiGo,7784,7207.0,8.01,AVAILABLE,NORMAL
A0067,MAA-DEL,SpiceJet,9453,7393.0,27.86,AVAILABLE,NORMAL
A0068,MAA-DEL,IndiGo,9917,7393.0,34.14,AVAILABLE,NORMAL
A0069,DEL-CCU,IndiGo,5331,6581.5,-19.0,AVAILABLE,NORMAL
A0070,BLR-HYD,SpiceJet,6258,6792.5,-7.87,AVAILABLE,NORMAL
A0071,BLR-HYD,Akasa Air,9743,6792.5,43.44,AVAILABLE,NORMAL
A0072,MAA-DEL,Air India Express,7721,7393.0,4.44,AVAILABLE,NORMAL
A0073,BOM-BLR,Air India,6356,6133.5,3.63,AVAILABLE,NORMAL
A0074,DEL-BLR,Akasa Air,9071,6927.0,30.95,AVAILABLE,NORMAL
A0075,DEL-CCU,Akasa Air,5273,6581.5,-19.88,SOLD_OUT,NORMAL
A0076,DEL-BOM,SpiceJet,7204,7207.0,-0.04,AVAILABLE,NORMAL
A0077,DEL-CCU,SpiceJet,8340,6581.5,26.72,AVAILABLE,NORMAL
A0078,DEL-BOM,Akasa Air,9428,7207.0,30.82,AVAILABLE,NORMAL
A0079,DEL-CCU,Air India,7684,6581.5,16.75,AVAILABLE,NORMAL
A0080,DEL-BOM,IndiGo,4679,7207.0,-35.08,AVAILABLE,NORMAL
A0081,DEL-BLR,Akasa Air,6273,6927.0,-9.44,AVAILABLE,NORMAL
A0082,DEL-BOM,Akasa Air,9751,7207.0,35.3,MISSING,NORMAL
A0083,MAA-DEL,IndiGo,9502,7393.0,28.53,AVAILABLE,NORMAL
