observation_id,origin,destination,route,airline,travel_date,search_date,search_time,search_hour,lead_time,lead_time_days,fare_class,base_fare,taxes,fees,total_fare,availability,usable_for_index,source,timestamp,year,month,week,day_of_week,travel_month,route_median_fare,fare_deviation_pct,fare_consistency_flag,validation_status,validation_reason,duplicate_flag,outlier_flag
A0001,MAA,DEL,MAA-DEL,IndiGo,2026-09-06,2026-09-05,23:06,23,T+1,1,Economy,8574,781,112,9467,AVAILABLE,True,Sample Data,2026-09-05 23:06:00,2026,9,36,Sunday,2026-09,7393.0,28.05,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0002,MAA,DEL,MAA-DEL,SpiceJet,2026-09-06,2026-09-05,06:14,6,T+1,1,Economy,7337,932,58,8327,AVAILABLE,True,Sample Data,2026-09-05 06:14:00,2026,9,36,Sunday,2026-09,7393.0,12.63,VALID,VALID,,UNIQUE,NORMAL
A0003,BLR,HYD,BLR-HYD,SpiceJet,2026-09-06,2026-09-05,17:26,17,T+1,1,Economy,7097,703,233,8033,AVAILABLE,True,Sample Data,2026-09-05 17:26:00,2026,9,36,Sunday,2026-09,6792.5,18.26,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0004,DEL,BLR,DEL-BLR,Akasa Air,2026-10-20,2026-09-05,22:27,22,T+45,45,Economy,4778,506,244,5528,AVAILABLE,True,Sample Data,2026-09-05 22:27:00,2026,10,43,Tuesday,2026-10,6927.0,-20.2,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0005,BOM,BLR,BOM-BLR,Air India Express,2026-09-12,2026-09-05,03:22,3,T+7,7,Economy,4263,844,76,5183,AVAILABLE,True,Sample Data,2026-09-05 03:22:00,2026,9,37,Saturday,2026-09,6133.5,-15.5,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0006,BOM,BLR,BOM-BLR,SpiceJet,2026-09-20,2026-09-05,12:05,12,T+15,15,Economy,2855,970,187,4012,AVAILABLE,True,Sample Data,2026-09-05 12:05:00,2026,9,38,Sunday,2026-09,6133.5,-34.59,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0007,BLR,HYD,BLR-HYD,Air India Express,2026-10-20,2026-09-05,01:42,1,T+45,45,Economy,5462,1091,99,6652,AVAILABLE,True,Sample Data,2026-09-05 01:42:00,2026,10,43,Tuesday,2026-10,6792.5,-2.07,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0008,DEL,BLR,DEL-BLR,Air India Express,2026-09-06,2026-09-05,20:53,20,T+1,1,Economy,4407,603,147,5157,AVAILABLE,True,Sample Data,2026-09-05 20:53:00,2026,9,36,Sunday,2026-09,6927.0,-25.55,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0009,BOM,BLR,BOM-BLR,Air India,2026-09-20,2026-09-05,21:41,21,T+15,15,Economy,5410,714,221,6345,AVAILABLE,True,Sample Data,2026-09-05 21:41:00,2026,9,38,Sunday,2026-09,6133.5,3.45,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0010,DEL,BOM,DEL-BOM,SpiceJet,2026-09-12,2026-09-05,08:59,8,T+7,7,Economy,6875,750,91,7716,AVAILABLE,True,Sample Data,2026-09-05 08:59:00,2026,9,37,Saturday,2026-09,7207.0,7.06,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0011,MAA,DEL,MAA-DEL,SpiceJet,2026-09-12,2026-09-05,01:14,1,T+7,7,Economy,8108,832,265,9205,AVAILABLE,True,Sample Data,2026-09-05 01:14:00,2026,9,37,Saturday,2026-09,7393.0,24.51,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0012,DEL,BOM,DEL-BOM,Air India Express,2026-10-05,2026-09-05,18:56,18,T+30,30,Economy,4693,567,104,5364,SOLD_OUT,False,Sample Data,2026-09-05 18:56:00,2026,10,41,Monday,2026-10,7207.0,-25.57,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0013,MAA,DEL,MAA-DEL,Air India Express,2026-09-12,2026-09-05,20:29,20,T+7,7,Economy,7869,1011,151,9031,AVAILABLE,True,Sample Data,2026-09-05 20:29:00,2026,9,37,Saturday,2026-09,7393.0,22.16,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0014,DEL,BLR,DEL-BLR,Air India Express,2026-09-12,2026-09-05,18:27,18,T+7,7,Economy,4520,1074,187,5781,AVAILABLE,True,Sample Data,2026-09-05 18:27:00,2026,9,37,Saturday,2026-09,6927.0,-16.54,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0015,BLR,HYD,BLR-HYD,Akasa Air,2026-09-20,2026-09-05,01:55,1,T+15,15,Economy,4296,641,180,5117,AVAILABLE,True,Sample Data,2026-09-05 01:55:00,2026,9,38,Sunday,2026-09,6792.5,-24.67,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0016,DEL,BOM,DEL-BOM,Air India,2026-09-12,2026-09-05,12:24,12,T+7,7,Economy,8988,1196,158,10342,AVAILABLE,True,Sample Data,2026-09-05 12:24:00,2026,9,37,Saturday,2026-09,7207.0,43.5,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0017,BLR,HYD,BLR-HYD,Akasa Air,2026-10-20,2026-09-05,21:46,21,T+45,45,Economy,4559,1066,270,5895,SOLD_OUT,False,Sample Data,2026-09-05 21:46:00,2026,10,43,Tuesday,2026-10,6792.5,-13.21,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0018,DEL,BOM,DEL-BOM,SpiceJet,2026-09-20,2026-09-05,13:10,13,T+15,15,Economy,8796,1156,137,10089,AVAILABLE,True,Sample Data,2026-09-05 13:10:00,2026,9,38,Sunday,2026-09,7207.0,39.99,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0019,DEL,CCU,DEL-CCU,IndiGo,2026-09-20,2026-09-05,20:19,20,T+15,15,Economy,6600,682,179,7461,SOLD_OUT,False,Sample Data,2026-09-05 20:19:00,2026,9,38,Sunday,2026-09,6581.5,13.36,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0020,MAA,DEL,MAA-DEL,SpiceJet,2026-10-20,2026-09-05,17:49,17,T+45,45,Economy,4129,656,145,4930,AVAILABLE,True,Sample Data,2026-09-05 17:49:00,2026,10,43,Tuesday,2026-10,7393.0,-33.32,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0021,BLR,HYD,BLR-HYD,IndiGo,2026-10-20,2026-09-05,11:56,11,T+45,45,Economy,5155,1000,54,6209,AVAILABLE,True,Sample Data,2026-09-05 11:56:00,2026,10,43,Tuesday,2026-10,6792.5,-8.59,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0022,BOM,BLR,BOM-BLR,Air India,2026-09-06,2026-09-05,23:31,23,T+1,1,Economy,4473,1080,292,5845,AVAILABLE,True,Sample Data,2026-09-05 23:31:00,2026,9,36,Sunday,2026-09,6133.5,-4.7,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0023,DEL,BOM,DEL-BOM,SpiceJet,2026-09-12,2026-09-05,05:16,5,T+7,7,Economy,3551,1175,171,4897,SOLD_OUT,False,Sample Data,2026-09-05 05:16:00,2026,9,37,Saturday,2026-09,7207.0,-32.05,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0024,BLR,HYD,BLR-HYD,SpiceJet,2026-10-05,2026-09-05,06:45,6,T+30,30,Economy,4235,1052,243,5530,AVAILABLE,True,Sample Data,2026-09-05 06:45:00,2026,10,41,Monday,2026-10,6792.5,-18.59,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0025,BOM,BLR,BOM-BLR,Akasa Air,2026-09-20,2026-09-05,07:04,7,T+15,15,Economy,6088,1029,165,7282,AVAILABLE,True,Sample Data,2026-09-05 07:04:00,2026,9,38,Sunday,2026-09,6133.5,18.73,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0026,BOM,BLR,BOM-BLR,IndiGo,2026-10-20,2026-09-05,02:45,2,T+45,45,Economy,7037,735,200,7972,AVAILABLE,True,Sample Data,2026-09-05 02:45:00,2026,10,43,Tuesday,2026-10,6133.5,29.97,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0027,MAA,DEL,MAA-DEL,IndiGo,2026-09-12,2026-09-05,16:15,16,T+7,7,Economy,3052,532,270,3854,AVAILABLE,True,Sample Data,2026-09-05 16:15:00,2026,9,37,Saturday,2026-09,7393.0,-47.87,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0028,BOM,BLR,BOM-BLR,Akasa Air,2026-09-12,2026-09-05,18:36,18,T+7,7,Economy,6917,635,235,7787,SOLD_OUT,False,Sample Data,2026-09-05 18:36:00,2026,9,37,Saturday,2026-09,6133.5,26.96,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0029,DEL,CCU,DEL-CCU,Air India,2026-10-05,2026-09-05,13:22,13,T+30,30,Economy,5834,694,74,6602,AVAILABLE,True,Sample Data,2026-09-05 13:22:00,2026,10,41,Monday,2026-10,6581.5,0.31,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0030,DEL,CCU,DEL-CCU,Akasa Air,2026-10-05,2026-09-05,20:06,20,T+30,30,Economy,8472,555,222,9249,AVAILABLE,True,Sample Data,2026-09-05 20:06:00,2026,10,41,Monday,2026-10,6581.5,40.53,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0031,DEL,BOM,DEL-BOM,Akasa Air,2026-09-20,2026-09-05,14:08,14,T+15,15,Economy,3395,754,99,4248,AVAILABLE,True,Sample Data,2026-09-05 14:08:00,2026,9,38,Sunday,2026-09,7207.0,-41.06,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0032,DEL,CCU,DEL-CCU,Air India,2026-09-20,2026-09-05,14:51,14,T+15,15,Economy,6289,755,273,7317,SOLD_OUT,False,Sample Data,2026-09-05 14:51:00,2026,9,38,Sunday,2026-09,6581.5,11.18,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0033,BLR,HYD,BLR-HYD,IndiGo,2026-09-06,2026-09-05,02:59,2,T+1,1,Economy,7842,1053,264,9159,AVAILABLE,True,Sample Data,2026-09-05 02:59:00,2026,9,36,Sunday,2026-09,6792.5,34.84,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0034,DEL,BLR,DEL-BLR,Air India,2026-10-05,2026-09-05,01:10,1,T+30,30,Economy,6478,992,104,7574,AVAILABLE,True,Sample Data,2026-09-05 01:10:00,2026,10,41,Monday,2026-10,6927.0,9.34,VALID,VALID,,UNIQUE,NORMAL
A0035,DEL,CCU,DEL-CCU,IndiGo,2026-10-05,2026-09-05,23:50,23,T+30,30,Economy,4672,965,123,5760,AVAILABLE,True,Sample Data,2026-09-05 23:50:00,2026,10,41,Monday,2026-10,6581.5,-12.48,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0036,BLR,HYD,BLR-HYD,Akasa Air,2026-09-12,2026-09-05,18:47,18,T+7,7,Economy,4055,803,105,4963,SOLD_OUT,False,Sample Data,2026-09-05 18:47:00,2026,9,37,Saturday,2026-09,6792.5,-26.93,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0037,BLR,HYD,BLR-HYD,IndiGo,2026-09-20,2026-09-05,16:10,16,T+15,15,Economy,2968,551,199,3718,AVAILABLE,True,Sample Data,2026-09-05 16:10:00,2026,9,38,Sunday,2026-09,6792.5,-45.26,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0038,DEL,BOM,DEL-BOM,SpiceJet,2026-09-06,2026-09-05,07:25,7,T+1,1,Economy,4022,570,202,4794,AVAILABLE,True,Sample Data,2026-09-05 07:25:00,2026,9,36,Sunday,2026-09,7207.0,-33.48,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0039,DEL,BOM,DEL-BOM,SpiceJet,2026-09-12,2026-09-05,13:42,13,T+7,7,Economy,7242,1108,60,8410,AVAILABLE,True,Sample Data,2026-09-05 13:42:00,2026,9,37,Saturday,2026-09,7207.0,16.69,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0040,BLR,HYD,BLR-HYD,SpiceJet,2026-10-20,2026-09-05,10:15,10,T+45,45,Economy,5091,767,102,5960,AVAILABLE,True,Sample Data,2026-09-05 10:15:00,2026,10,43,Tuesday,2026-10,6792.5,-12.26,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0041,BOM,BLR,BOM-BLR,Akasa Air,2026-09-12,2026-09-05,02:00,2,T+7,7,Economy,8002,1160,126,9288,AVAILABLE,True,Sample Data,2026-09-05 02:00:00,2026,9,37,Saturday,2026-09,6133.5,51.43,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0042,DEL,CCU,DEL-CCU,SpiceJet,2026-10-20,2026-09-05,08:08,8,T+45,45,Economy,3319,575,187,4081,AVAILABLE,True,Sample Data,2026-09-05 08:08:00,2026,10,43,Tuesday,2026-10,6581.5,-37.99,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0043,BOM,BLR,BOM-BLR,IndiGo,2026-09-12,2026-09-05,17:45,17,T+7,7,Economy,5527,791,90,6408,AVAILABLE,True,Sample Data,2026-09-05 17:45:00,2026,9,37,Saturday,2026-09,6133.5,4.48,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0044,BOM,BLR,BOM-BLR,SpiceJet,2026-10-20,2026-09-05,21:06,21,T+45,45,Economy,2564,1183,259,4006,AVAILABLE,True,Sample Data,2026-09-05 21:06:00,2026,10,43,Tuesday,2026-10,6133.5,-34.69,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0045,DEL,BLR,DEL-BLR,Air India Express,2026-09-06,2026-09-05,19:13,19,T+1,1,Economy,3376,1066,89,4531,AVAILABLE,True,Sample Data,2026-09-05 19:13:00,2026,9,36,Sunday,2026-09,6927.0,-34.59,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0046,MAA,DEL,MAA-DEL,Air India Express,2026-09-12,2026-09-05,15:16,15,T+7,7,Economy,8131,1149,268,9548,AVAILABLE,True,Sample Data,2026-09-05 15:16:00,2026,9,37,Saturday,2026-09,7393.0,29.15,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
A0047,DEL,BOM,DEL-BOM,IndiGo,2026-10-05,2026-09-05,04:40,4,T+30,30,Economy,4766,545,50,5361,AVAILABLE,True,Sample Data,2026-09-05 04:40:00,2026,10,41,Monday,2026-10,7207.0,-25.61,VALID,VALID,,INTRADAY_REPEAT_CHECK,NORMAL
