observation_id,origin,destination,airline,travel_date,search_date,search_time,lead_time,fare_class,base_fare,taxes,fees,total_fare,availability,source,timestamp
A0001,MAA,DEL,IndiGo,2026-09-06,2026-09-05,23:06,T+1,Economy,8574,781,112,9467,AVAILABLE,Sample Data,2026-09-05 23:06
A0002,MAA,DEL,SpiceJet,2026-09-06,2026-09-05,06:14,T+1,Economy,7337,932,58,8327,AVAILABLE,Sample Data,2026-09-05 06:14
A0003,BLR,HYD,SpiceJet,2026-09-06,2026-09-05,17:26,T+1,Economy,7097,703,233,8033,AVAILABLE,Sample Data,2026-09-05 17:26
A0004,DEL,BLR,Akasa Air,2026-10-20,2026-09-05,22:27,T+45,Economy,4778,506,244,5528,AVAILABLE,Sample Data,2026-09-05 22:27
A0005,BOM,BLR,Air India Express,2026-09-12,2026-09-05,03:22,T+7,Economy,4263,844,76,5183,AVAILABLE,Sample Data,2026-09-05 03:22
A0006,BOM,BLR,SpiceJet,2026-09-20,2026-09-05,12:05,T+15,Economy,2855,970,187,4012,AVAILABLE,Sample Data,2026-09-05 12:05
A0007,BLR,HYD,Air India Express,2026-10-20,2026-09-05,01:42,T+45,Economy,5462,1091,99,6652,AVAILABLE,Sample Data,2026-09-05 01:42
A0008,DEL,BLR,Air India Express,2026-09-06,2026-09-05,20:53,T+1,Economy,4407,603,147,5157,AVAILABLE,Sample Data,2026-09-05 20:53
A0009,BOM,BLR,Air India,2026-09-20,2026-09-05,21:41,T+15,Economy,5410,714,221,6345,AVAILABLE,Sample Data,2026-09-05 21:41
A0010,DEL,BOM,SpiceJet,2026-09-12,2026-09-05,08:59,T+7,Economy,6875,750,91,7716,AVAILABLE,Sample Data,2026-09-05 08:59
A0011,MAA,DEL,SpiceJet,2026-09-12,2026-09-05,01:14,T+7,Economy,8108,832,265,9205,AVAILABLE,Sample Data,2026-09-05 01:14
A0012,DEL,BOM,Air India Express,2026-10-05,2026-09-05,18:56,T+30,Economy,4693,567,104,5364,SOLD_OUT,Sample Data,2026-09-05 18:56
A0013,MAA,DEL,Air India Express,2026-09-12,2026-09-05,20:29,T+7,Economy,7869,1011,151,9031,AVAILABLE,Sample Data,2026-09-05 20:29
A0014,DEL,BLR,Air India Express,2026-09-12,2026-09-05,18:27,T+7,Economy,4520,1074,187,5781,AVAILABLE,Sample Data,2026-09-05 18:27
A0015,BLR,HYD,Akasa Air,2026-09-20,2026-09-05,01:55,T+15,Economy,4296,641,180,5117,AVAILABLE,Sample Data,2026-09-05 01:55
A0016,DEL,BOM,Air India,2026-09-12,2026-09-05,12:24,T+7,Economy,8988,1196,158,10342,AVAILABLE,Sample Data,2026-09-05 12:24
