current_field,required_standard_field,mapping_action
observation_id,observation_id,NO CHANGE (already standard)
origin,origin,NO CHANGE (already standard)
destination,destination,NO CHANGE (already standard)
airline,airline,NO CHANGE (already standard)
travel_date,travel_date,NO CHANGE (already standard)
search_date,search_date,NO CHANGE (already standard)
search_time,search_time,NO CHANGE (already standard)
lead_time,lead_time,NO CHANGE (already standard)
fare_class,fare_class,NO CHANGE (already standard)
base_fare,base_fare,NO CHANGE (already standard)
taxes,taxes,NO CHANGE (already standard)
fees,fees,NO CHANGE (already standard)
total_fare,total_fare,NO CHANGE (already standard)
availability,availability,NO CHANGE (already standard)
source,source,NO CHANGE (already standard)
timestamp,timestamp,NO CHANGE (already standard)
